drug_key	atc	numerator_value	numerator_unit	denominator_value	denominator_unit	actual_unit	route	route_long	hospital_name	n	drug_names
J01CF01_IV_1_g_g	J01CF01	1	g	NA	NA	g	IV	intravenous	Esbjerg, Svendborg_extract	22	Dicillin, Diclocil, Diclocil 1 g, Diclocil 2 g VialMate
J01CF01_IV_0.002_g_g	J01CF01	0.002	g	1	ml	g	IV	intravenous	hvidovre, Soenderborg_extract, Svendborg_extract	33	Diclocil
J01CF01_IV_100.0_mg_mg/kg	J01CF01	100	mg	1	ml	mg/kg	IV	intravenous	bispebjerg, herlev, Odense_extract	33	Diclocil
J01CF01_IV_2.0_mg_mg	J01CF01	2	mg	1	ml	mg	IV	intravenous	Soenderborg_extract, Vejle_extract	33	Diclocil
J01CF01_IV_100.0_g_g	J01CF01	100	g	1	ml	g	IV	intravenous	herlev, Kolding_extract, Odense_extract	42	Diclocil
J01CF01_IV_2.0_g_g	J01CF01	2	g	NA	NA	g	IV	intravenous	herlev, hvidovre, Rigshospital_almen	43	Diclocil, Diclocil 2 g  Serie
J01CF01_IV_10.0_mg_mg	J01CF01	10	mg	1	ml	mg	IV	intravenous	bispebjerg, Odense_extract, Svendborg_extract, Vejle_extract	59	Diclocil
J01CF01_IV_1.0_g_g	J01CF01	1	g	NA	NA	g	IV	intravenous	bispebjerg, Esbjerg, herlev, hvidovre, Rigshospital_almen, Soenderborg_extract	102	Diclocil
J01CF01_IV_100.0_mg_mg	J01CF01	100	mg	1	ml	mg	IV	intravenous	bispebjerg, Esbjerg, herlev, hvidovre, Kolding_extract, Odense_extract, Soenderborg_extract	190	Diclocil
J01CF01_IV_0.01_g_g	J01CF01	0.01	g	1	ml	g	IV	intravenous	bispebjerg, Esbjerg, Soenderborg_extract, Svendborg_extract, Vejle_extract	203	Diclocil
J01CF01_IV_0.1_g_g	J01CF01	0.1	g	1	ml	g	IV	intravenous	bispebjerg, Esbjerg, herlev, hvidovre, Kolding_extract, Odense_extract, Soenderborg_extract, Svendborg_extract, Vejle_extract	411	Diclocil
J01CR02_GA_500.0_mg_mg	J01CR02	500	mg	NA	NA	mg	GA	gastrointestinal = peroral	Rigshospital_almen	5	Amoxic/clavulansyre """"Actavis"""", Bioclavid, Spektramox
J01CR02_GA_500_mg_mg	J01CR02	500	mg	NA	NA	mg	GA	gastrointestinal = peroral	bispebjerg	9	Bioclavid
J01CR02_GA_1.0_pcs_pcs	J01CR02	1	pcs	NA	NA	pcs	GA	gastrointestinal = peroral	herlev	12	Bioclavid
J01CR02_GA_1_pcs_pcs	J01CR02	1	pcs	NA	NA	pcs	GA	gastrointestinal = peroral	Svendborg_extract, Vejle_extract	21	Bioclavid
J01CR05_IV_1000.0_mg_mg	J01CR05	1000	mg	NA	NA	mg	IV	intravenous	Rigshospital_almen	5	Tazocin
J01CR05_IV_8.0_g_g	J01CR05	8	g	NA	NA	g	IV	intravenous	hvidovre	5	Tazocin
J01CR05_IV_0.04_g_g	J01CR05	0.04	g	1	ml	g	IV	intravenous	Svendborg_extract	6	Piperacil./Tazobac. """"Stragen"""", Piperacil/Tazobac og NaCl isot, Tazocin
J01CR05_IV_2000.0_mg_mg	J01CR05	2000	mg	NA	NA	mg	IV	intravenous	Rigshospital_almen	7	Tazocin
J01CR05_IV_2000_mg_mg	J01CR05	2000	mg	NA	NA	mg	IV	intravenous	Kolding_extract	7	Tazocin
J01CR05_IV_20.0_g_g	J01CR05	20	g	NA	NA	g	IV	intravenous	hvidovre	8	Tazocin
J01CR05_IV_3000.0_mg_mg	J01CR05	3000	mg	NA	NA	mg	IV	intravenous	Odense_extract, Rigshospital_almen	10	Tazocin
J01CR05_IV_1_pcs_pcs	J01CR05	1	pcs	NA	NA	pcs	IV	intravenous	Svendborg_extract	11	Piperacil./Tazobactam Sandoz, Piperacil/Tazobac og NaCl isot, Piperacil/Tazobact """"Fres. Kabi
J01CR05_IV_4000_mg_mg	J01CR05	4000	mg	NA	NA	mg	IV	intravenous	bispebjerg, Kolding_extract, Vejle_extract	23	Tazocin
J01CR05_IV_6.0_g_g	J01CR05	6	g	NA	NA	g	IV	intravenous	bispebjerg, herlev, hvidovre	31	Tazocin
J01CR05_IV_2_g_g	J01CR05	2	g	NA	NA	g	IV	intravenous	Vejle_extract	43	Piperacil./Tazobac. """"Stragen"""", Tazocin
J01CR05_IV_6_g_g	J01CR05	6	g	NA	NA	g	IV	intravenous	Vejle_extract	49	Tazocin
J01CR05_IV_4.5_g_g	J01CR05	4.5	g	NA	NA	g	IV	intravenous	Kolding_extract, Svendborg_extract	70	Piperacil./Tazobac. """"Stragen"""", Piperacil./Tazobactam Sandoz, Piperacil/Tazobac.Reig Jofre, Piperacil/Tazobact """"Fres. Kabi, Tazocin
J01CR05_IV_1.0_pcs_pcs	J01CR05	1	pcs	NA	NA	pcs	IV	intravenous	Svendborg_extract	188	Piperacil./Tazobac. """"Stragen""""
J01CR05_IV_2.0_g_g	J01CR05	2	g	NA	NA	g	IV	intravenous	bispebjerg, Esbjerg, herlev, hvidovre, Kolding_extract, Rigshospital_almen, Soenderborg_extract, Svendborg_extract	276	Tazocin
J01CR05_IV_4_g_g	J01CR05	4	g	NA	NA	g	IV	intravenous	Svendborg_extract, Vejle_extract	1412	Piperacil./Tazobactam """"Orchid"""", Piperacil/Tazobac og NaCl isot, Tazocin, Tazocin i NaCl inf. 4 G/0,5 G
J01CR05_IV_4.0_g_g	J01CR05	4	g	NA	NA	g	IV	intravenous	bispebjerg, Esbjerg, herlev, hvidovre, Kolding_extract, Odense_extract, Rigshospital_almen, Soenderborg_extract, Svendborg_extract	11933	Piperacil./Tazobac. """"Stragen"""", Piperacil./Tazobactam """"Sandoz"""", Piperacil./Tazobactam Sandoz, Piperacil/Tazobact """"Fres. Kabi, Tazocin
J01DC02_IV_0.25_g_g	J01DC02	0.25	g	NA	NA	g	IV	intravenous	Esbjerg	5	Cefuroxim """"stragen""""
J01DC02_IV_103.23_mg_mg/kg	J01DC02	103.23	mg	NA	NA	mg/kg	IV	intravenous	Odense_extract	5	Cefuroxim """"stragen""""
J01DC02_IV_1200.0_mg_mg	J01DC02	1200	mg	NA	NA	mg	IV	intravenous	Odense_extract	5	Cefuroxim """"stragen""""
J01DC02_IV_1500.0_mg_mg/kg	J01DC02	1500	mg	NA	NA	mg/kg	IV	intravenous	Rigshospital_almen	5	Cefuroxim """"Stragen"""", Cefuroxim Break-seal NaCl 9 g/l
J01DC02_IV_333.0_mg_mg/kg	J01DC02	333	mg	NA	NA	mg/kg	IV	intravenous	Rigshospital_almen	5	Cefuroxim """"stragen"""", Cefuroxim """"Stragen"""", Cefuroxim Break-seal NaCl 9 g/l
J01DC02_IV_500_mg_mg	J01DC02	500	mg	NA	NA	mg	IV	intravenous	bispebjerg	5	Cefuroxim """"stragen"""", Cefuroxim """"Stragen""""
J01DC02_IV_600.0_mg_mg	J01DC02	600	mg	NA	NA	mg	IV	intravenous	Odense_extract	5	Cefuroxim """"stragen""""
J01DC02_IV_750_mg_mg/kg	J01DC02	750	mg	NA	NA	mg/kg	IV	intravenous	Esbjerg	5	Cefuroxim """"Stragen""""
J01DC02_IV_100.0_mg_mg/kg	J01DC02	100	mg	NA	NA	mg/kg	IV	intravenous	Odense_extract	6	Cefuroxim """"stragen""""
J01DC02_IV_110.0_mg_mg	J01DC02	110	mg	NA	NA	mg	IV	intravenous	Odense_extract	6	Cefuroxim """"stragen""""
J01DC02_IV_130.0_mg_mg	J01DC02	130	mg	NA	NA	mg	IV	intravenous	Odense_extract	6	Cefuroxim """"stragen""""
J01DC02_IV_2.25_g_g	J01DC02	2.25	g	NA	NA	g	IV	intravenous	Rigshospital_almen	6	Cefuroxim """"Stragen"""", Cefuroxim Break-seal NaCl 9 g/l
J01DC02_IV_65.0_mg_mg	J01DC02	65	mg	NA	NA	mg	IV	intravenous	Odense_extract	6	Cefuroxim """"stragen""""
J01DC02_IV_750.0_mg_mg/kg	J01DC02	750	mg	NA	NA	mg/kg	IV	intravenous	Rigshospital_almen	6	Cefuroxim """"stragen"""", Cefuroxim """"Stragen"""", Cefuroxim Break-seal NaCl 9 g/l
J01DC02_IV_95.0_mg_mg	J01DC02	95	mg	NA	NA	mg	IV	intravenous	Odense_extract	6	Cefuroxim """"stragen""""
J01DC02_IV_175.0_mg_mg	J01DC02	175	mg	NA	NA	mg	IV	intravenous	Odense_extract	7	Cefuroxim """"stragen""""
J01DC02_IV_40.0_mg_mg	J01DC02	40	mg	NA	NA	mg	IV	intravenous	Odense_extract	8	Cefuroxim """"stragen""""
J01DC02_IV_666.0_mg_mg/kg	J01DC02	666	mg	NA	NA	mg/kg	IV	intravenous	Rigshospital_almen	8	Cefuroxim """"stragen"""", Cefuroxim """"Stragen"""", Cefuroxim Break-seal NaCl 9 g/l
J01DC02_IV_85.0_mg_mg	J01DC02	85	mg	NA	NA	mg	IV	intravenous	Odense_extract	9	Cefuroxim """"stragen""""
J01DC02_IV_1.5_mg_mg	J01DC02	1.5	mg	NA	NA	mg	IV	intravenous	Odense_extract	10	Cefuroxim """"stragen""""
J01DC02_IV_25.0_mg_mg	J01DC02	25	mg	NA	NA	mg	IV	intravenous	Odense_extract	10	Cefuroxim """"stragen""""
J01DC02_IV_450.0_mg_mg	J01DC02	450	mg	NA	NA	mg	IV	intravenous	Odense_extract	10	Cefuroxim """"stragen""""
J01DC02_IV_140.0_mg_mg	J01DC02	140	mg	NA	NA	mg	IV	intravenous	Odense_extract	11	Cefuroxim """"stragen""""
J01DC02_IV_60.0_mg_mg	J01DC02	60	mg	NA	NA	mg	IV	intravenous	Odense_extract	11	Cefuroxim """"stragen""""
J01DC02_IV_2.0_g_g	J01DC02	2	g	NA	NA	g	IV	intravenous	Esbjerg, Rigshospital_almen	12	Cefuroxim """"stragen"""", Cefuroxim Break-seal NaCl 9 g/l
J01DC02_IV_650.0_mg_mg	J01DC02	650	mg	NA	NA	mg	IV	intravenous	Odense_extract, Rigshospital_almen	12	Cefuroxim """"stragen"""", Cefuroxim """"Stragen""""
J01DC02_IV_80.0_mg_mg	J01DC02	80	mg	NA	NA	mg	IV	intravenous	Odense_extract	12	Cefuroxim """"stragen""""
J01DC02_IV_0.5_g_g	J01DC02	0.5	g	NA	NA	g	IV	intravenous	Esbjerg, Odense_extract	13	Cefuroxim """"stragen"""", Cefuroxim Villerton
J01DC02_IV_70.0_mg_mg	J01DC02	70	mg	NA	NA	mg	IV	intravenous	Odense_extract	13	Cefuroxim """"stragen""""
J01DC02_IV_120.0_mg_mg	J01DC02	120	mg	NA	NA	mg	IV	intravenous	Odense_extract	15	Cefuroxim """"stragen""""
J01DC02_IV_200.0_mg_mg	J01DC02	200	mg	NA	NA	mg	IV	intravenous	Odense_extract	15	Cefuroxim """"stragen""""
J01DC02_IV_75.0_mg_mg	J01DC02	75	mg	NA	NA	mg	IV	intravenous	Odense_extract	16	Cefuroxim """"stragen""""
J01DC02_IV_300.0_mg_mg	J01DC02	300	mg	NA	NA	mg	IV	intravenous	Odense_extract	17	Cefuroxim """"stragen""""
J01DC02_IV_375.0_mg_mg	J01DC02	375	mg	NA	NA	mg	IV	intravenous	Odense_extract, Rigshospital_almen	17	Cefuroxim """"stragen"""", Cefuroxim """"Stragen""""
J01DC02_IV_750.0_g_g	J01DC02	750	g	NA	NA	g	IV	intravenous	Esbjerg, Odense_extract, Rigshospital_almen	19	Cefuroxim """"stragen"""", Cefuroxim Break-seal NaCl 9 g/l
J01DC02_IV_3000.0_mg_mg	J01DC02	3000	mg	NA	NA	mg	IV	intravenous	Odense_extract, Rigshospital_almen	20	Cefuroxim """"B. Braun"""", Cefuroxim """"stragen"""", Cefuroxim """"Stragen"""", Cefuroxim Break-seal NaCl 9 g/l
J01DC02_IV_90.0_mg_mg	J01DC02	90	mg	NA	NA	mg	IV	intravenous	Odense_extract	23	Cefuroxim """"stragen""""
J01DC02_IV_50.0_mg_mg	J01DC02	50	mg	NA	NA	mg	IV	intravenous	Odense_extract	25	Cefuroxim """"stragen""""
J01DC02_IV_400.0_mg_mg	J01DC02	400	mg	NA	NA	mg	IV	intravenous	Odense_extract, Rigshospital_almen	26	Cefuroxim """"stragen"""", Cefuroxim """"Stragen"""", Cefuroxim Break-seal NaCl 9 g/l
J01DC02_IV_350.0_mg_mg	J01DC02	350	mg	NA	NA	mg	IV	intravenous	Odense_extract, Rigshospital_almen	28	Cefuroxim """"stragen"""", Cefuroxim """"Stragen"""", Cefuroxim Break-seal NaCl 9 g/l
J01DC02_IV_150.0_mg_mg	J01DC02	150	mg	NA	NA	mg	IV	intravenous	Odense_extract	29	Cefuroxim """"stragen""""
J01DC02_IV_1000.0_mg_mg	J01DC02	1000	mg	NA	NA	mg	IV	intravenous	Odense_extract, Rigshospital_almen	32	Cefuroxim """"stragen"""", Cefuroxim """"Stragen""""
J01DC02_IV_125.0_mg_mg	J01DC02	125	mg	NA	NA	mg	IV	intravenous	Odense_extract	35	Cefuroxim """"stragen""""
J01DC02_IV_1.25_g_g	J01DC02	1.25	g	NA	NA	g	IV	intravenous	Esbjerg, Odense_extract, Rigshospital_almen	39	Cefuroxim """"stragen"""", Cefuroxim """"Stragen"""", Cefuroxim Break-seal NaCl 9 g/l
J01DC02_IV_1.0_g_g	J01DC02	1	g	NA	NA	g	IV	intravenous	Esbjerg, Odense_extract, Rigshospital_almen	41	Cefuroxim """"stragen"""", Cefuroxim """"Stragen"""", Cefuroxim Break-seal NaCl 9 g/l
J01DC02_IV_250.0_mg_mg	J01DC02	250	mg	NA	NA	mg	IV	intravenous	Odense_extract, Rigshospital_almen	41	Cefuroxim """"stragen"""", Cefuroxim """"Stragen"""", Cefuroxim Break-seal NaCl 9 g/l
J01DC02_IV_100.0_mg_mg	J01DC02	100	mg	NA	NA	mg	IV	intravenous	Odense_extract	60	Cefuroxim """"stragen""""
J01DC02_IV_1500_mg_mg	J01DC02	1500	mg	NA	NA	mg	IV	intravenous	bispebjerg, Esbjerg, Kolding_extract, Soenderborg_extract, Vejle_extract	84	Cefuroxim """"Fresenius Kabi"""", Cefuroxim """"stragen"""", Cefuroxim """"Stragen"""", Cefuroxim """"Villerton"""", Cefuroxim 1500 mgVialmate, Cefuroxim Break-seal NaCl 9 g/l, Cefuroxim Fresenius Kabi
J01DC02_IV_3.0_g_g	J01DC02	3	g	NA	NA	g	IV	intravenous	herlev, Odense_extract, Rigshospital_almen	99	Cefuroxim """"Fresenius Kabi"""", Cefuroxim """"stragen"""", Cefuroxim """"Stragen"""", Cefuroxim Break-seal NaCl 9 g/l, Cefuroxim Fresenius Kabi
J01DC02_IV_750_mg_mg	J01DC02	750	mg	NA	NA	mg	IV	intravenous	bispebjerg, Esbjerg, Kolding_extract, Vejle_extract	172	Cefuroxim """"Fresenius Kabi"""", Cefuroxim """"stragen"""", Cefuroxim """"Stragen"""", Cefuroxim """"Villerton"""", Cefuroxim 750 mgVialMate, Cefuroxim Break-seal NaCl 9 g/l, Cefuroxim Fresenius Kabi
J01DC02_IV_500.0_mg_mg	J01DC02	500	mg	NA	NA	mg	IV	intravenous	Esbjerg, Kolding_extract, Odense_extract, Rigshospital_almen, Soenderborg_extract, Svendborg_extract	185	Cefuroxim """"Fresenius Kabi"""", Cefuroxim """"stragen"""", Cefuroxim """"Stragen"""", Cefuroxim Break-seal NaCl 9 g/l
J01DC02_IV_0.75_g_g	J01DC02	0.75	g	NA	NA	g	IV	intravenous	Esbjerg, hvidovre, Kolding_extract, Odense_extract, Rigshospital_almen, Soenderborg_extract, Svendborg_extract, Vejle_extract	305	Cefuroxim """"stragen"""", Cefuroxim """"Stragen"""", Cefuroxim 750 mgVialMate, Cefuroxim Break-seal NaCl 9 g/l
J01DC02_IV_1500.0_mg_mg	J01DC02	1500	mg	NA	NA	mg	IV	intravenous	Esbjerg, herlev, hvidovre, Kolding_extract, Odense_extract, Rigshospital_almen, Soenderborg_extract, Svendborg_extract, Vejle_extract	556	Cefuroxim """"B. Braun"""", Cefuroxim """"Fresenius Kabi"""", Cefuroxim """"stragen"""", Cefuroxim """"Stragen"""", Cefuroxim Break-seal NaCl 9 g/l, Cefuroxim Fresenius Kabi
J01DC02_IV_750.0_mg_mg	J01DC02	750	mg	NA	NA	mg	IV	intravenous	Esbjerg, herlev, hvidovre, Kolding_extract, Odense_extract, Rigshospital_almen, Soenderborg_extract, Svendborg_extract, Vejle_extract	1344	Cefuroxim """"B. Braun"""", Cefuroxim """"Fresenius Kabi"""", Cefuroxim """"stragen"""", Cefuroxim """"Stragen"""", Cefuroxim Break-seal NaCl 9 g/l, Cefuroxim Fresenius Kabi, Zinacef
J01DC02_IV_1.5_g_g	J01DC02	1.5	g	NA	NA	g	IV	intravenous	bispebjerg, Esbjerg, herlev, hvidovre, Kolding_extract, Odense_extract, Rigshospital_almen, Soenderborg_extract, Svendborg_extract, Vejle_extract	7139	Cefuroxim """"B. Braun"""", Cefuroxim """"Fresenius Kabi"""", Cefuroxim """"stragen"""", Cefuroxim """"Stragen"""", Cefuroxim """"Villerton"""", Cefuroxim 1,5 g, Cefuroxim 750 mgVialMate, Cefuroxim Break-seal NaCl 9 g/l, Cefuroxim Farmaplus Minibag, Cefuroxim Fresenius Kabi, Cefuroxim Villerton, Zinacef
J01DD01_IV_1.0_g_g	J01DD01	1	g	NA	NA	g	IV	intravenous	Esbjerg	5	Claforan
J01DD01_IV_100.0_mg_mg	J01DD01	100	mg	1	ml	mg	IV	intravenous	Odense_extract	5	Claforan
J01DD01_IV_1_g_g	J01DD01	1	g	NA	NA	g	IV	intravenous	Svendborg_extract	5	Claforan
J01DD01_IV_2.0_g_g	J01DD01	2	g	NA	NA	g	IV	intravenous	Vejle_extract	5	Claforan
J01DD01_IV_10.0_mg_mg/kg	J01DD01	10	mg	1	ml	mg/kg	IV	intravenous	Odense_extract	6	Claforan
J01DD01_IV_2_g_g	J01DD01	2	g	NA	NA	g	IV	intravenous	Svendborg_extract	6	Claforan
J01DD02_IV_2_g_g	J01DD02	2	g	NA	NA	g	IV	intravenous	Odense_extract	5	Fortum
J01DD02_IV_500.0_mg_mg	J01DD02	500	mg	NA	NA	mg	IV	intravenous	Rigshospital_almen	5	Ceftazidim  Sandoz  Minibag, Ceftazidim """"Fresenius Kabi""""
J01DD02_IV_1000.0_mg_mg	J01DD02	1000	mg	NA	NA	mg	IV	intravenous	Rigshospital_almen	6	Ceftazidim  Sandoz  Minibag, Ceftazidim """"Fresenius Kabi""""
J01DD02_IV_0.5_g_g	J01DD02	0.5	g	NA	NA	g	IV	intravenous	Esbjerg	8	Fortum
J01DD02_IV_2.0_g_g	J01DD02	2	g	NA	NA	g	IV	intravenous	herlev, Rigshospital_almen	13	Ceftazidim  Sandoz  Minibag, Ceftazidim """"Sandoz"""", Fortum
J01DD02_IV_1.0_g_g	J01DD02	1	g	NA	NA	g	IV	intravenous	Esbjerg, herlev, Rigshospital_almen	26	Ceftazidim  Sandoz  Minibag, Ceftazidim """"Fresenius Kabi"""", Fortum
J01DD04_IV_50.0_mg_mg	J01DD04	50	mg	1	ml	mg	IV	intravenous	Odense_extract	10	Rocephalin
J01DD04_IV_50.0_mg_mg/kg	J01DD04	50	mg	1	ml	mg/kg	IV	intravenous	Odense_extract	11	Rocephalin
J01DD04_IV_100.0_mg_mg/kg	J01DD04	100	mg	1	ml	mg/kg	IV	intravenous	hvidovre, Odense_extract	21	Rocephalin
J01DD04_IV_1.0_g_g	J01DD04	1	g	NA	NA	g	IV	intravenous	Kolding_extract, Rigshospital_almen	26	Ceftriaxon """"Fresenius Kabi"""", Ceftriaxon """"Stragen"""", Ceftriaxon Copyfarm, Ceftriaxon Sandoz, Rocephalin
J01DD04_IV_100.0_mg_mg	J01DD04	100	mg	1	ml	mg	IV	intravenous	Odense_extract	33	Rocephalin
J01DD04_IV_4.0_g_g	J01DD04	4	g	NA	NA	g	IV	intravenous	herlev, Kolding_extract, Odense_extract, Rigshospital_almen	90	Ceftriaxon """"DeltaSelect"""", Ceftriaxon """"Fresenius Kabi"""", Ceftriaxon """"Stragen"""", Ceftriaxon """"Villerton"""", Ceftriaxon ACS Dobfar Generics, Ceftriaxon Copyfarm, Ceftriaxon Sandoz, Rocephalin
J01DD04_IV_0.05_g_g	J01DD04	0.05	g	1	ml	g	IV	intravenous	bispebjerg, Esbjerg, herlev, hvidovre, Odense_extract, Soenderborg_extract, Svendborg_extract, Vejle_extract	177	Rocephalin
J01DD04_IV_0.1_g_g	J01DD04	0.1	g	1	ml	g	IV	intravenous	bispebjerg, Esbjerg, herlev, hvidovre, Odense_extract	221	Rocephalin
J01DD04_IV_2.0_g_g	J01DD04	2	g	NA	NA	g	IV	intravenous	Kolding_extract, Rigshospital_almen	221	Ceftriaxon """"DeltaSelect"""", Ceftriaxon """"Fresenius Kabi"""", Ceftriaxon """"Stragen"""", Ceftriaxon """"Villerton"""", Ceftriaxon ACS Dobfar Generics, Ceftriaxon Copyfarm, Ceftriaxon Sandoz, Rocephalin
J01DH02_IV_0.01_mg_mg	J01DH02	0.01	mg	1	ml	mg	IV	intravenous	Soenderborg_extract	5	Meronem
J01DH02_IV_0.05_mg_mg	J01DH02	0.05	mg	1	ml	mg	IV	intravenous	Odense_extract	5	Meronem
J01DH02_IV_157.0_mg_mg	J01DH02	157	mg	1	ml	mg	IV	intravenous	Rigshospital_almen	5	Meronem
J01DH02_IV_500.0_mg_mg	J01DH02	500	mg	NA	NA	mg	IV	intravenous	Rigshospital_almen	5	Meronem, Meropenem """"Hospira""""
J01DH02_IV_400.0_mg_mg	J01DH02	400	mg	NA	NA	mg	IV	intravenous	Rigshospital_almen	6	Meronem
J01DH02_IV_500_mg_mg	J01DH02	500	mg	NA	NA	mg	IV	intravenous	Esbjerg	6	Meronem, Meronem 500 mg VialMate
J01DH02_IV_10.0_g_g	J01DH02	10	g	1	ml	g	IV	intravenous	Kolding_extract, Rigshospital_almen	13	Meronem
J01DH02_IV_1000_mg_mg	J01DH02	1000	mg	NA	NA	mg	IV	intravenous	bispebjerg, Svendborg_extract	22	Meronem
J01DH02_IV_2000.0_mg_mg	J01DH02	2000	mg	NA	NA	mg	IV	intravenous	Rigshospital_almen	30	Meronem, Meropenem  Break-seal NaCl 9 g/l
J01DH02_IV_50.0_g_g	J01DH02	50	g	1	ml	g	IV	intravenous	Esbjerg, Odense_extract, Rigshospital_almen	39	Meronem
J01DH02_IV_1000.0_mg_mg	J01DH02	1000	mg	NA	NA	mg	IV	intravenous	hvidovre, Rigshospital_almen	77	Meronem, Meropenem  Break-seal NaCl 9 g/l
J01DH02_IV_2.0_g_g	J01DH02	2	g	NA	NA	g	IV	intravenous	bispebjerg, Rigshospital_almen, Soenderborg_extract	88	Meronem, Meropenem  Break-seal NaCl 9 g/l, Meropenem """"Farmaplus"""", Meropenem """"Hospira"""", Meropenem Hospira Minibag
J01DH02_IV_10.0_mg_mg/kg	J01DH02	10	mg	1	ml	mg/kg	IV	intravenous	bispebjerg, Esbjerg, Kolding_extract, Odense_extract, Rigshospital_almen, Soenderborg_extract, Svendborg_extract	112	Meronem
J01DH02_IV_10.0_mg_mg	J01DH02	10	mg	1	ml	mg	IV	intravenous	bispebjerg, Esbjerg, Kolding_extract, Odense_extract, Rigshospital_almen, Soenderborg_extract, Svendborg_extract, Vejle_extract	183	Meronem, Meropenem  Break-seal NaCl 9 g/l
J01DH02_IV_1.0_g_g	J01DH02	1	g	NA	NA	g	IV	intravenous	bispebjerg, Esbjerg, hvidovre, Kolding_extract, Odense_extract, Rigshospital_almen, Soenderborg_extract, Svendborg_extract	249	Meronem, Meropenem  Break-seal NaCl 9 g/l, Meropenem """"Farmaplus"""", Meropenem """"Hospira"""", Meropenem """"Stada""""
J01DH02_IV_50.0_mg_mg/kg	J01DH02	50	mg	1	ml	mg/kg	IV	intravenous	bispebjerg, Esbjerg, herlev, hvidovre, Odense_extract, Rigshospital_almen	365	Meronem
J01DH02_IV_50.0_mg_mg	J01DH02	50	mg	1	ml	mg	IV	intravenous	bispebjerg, Esbjerg, herlev, hvidovre, Odense_extract, Rigshospital_almen, Soenderborg_extract, Svendborg_extract	661	Meronem
J01DH02_IV_0.01_g_g	J01DH02	0.01	g	1	ml	g	IV	intravenous	bispebjerg, Esbjerg, hvidovre, Kolding_extract, Odense_extract, Rigshospital_almen, Soenderborg_extract, Svendborg_extract, Vejle_extract	5740	Meronem, Meronem Abacus Minibag
J01DH02_IV_0.05_g_g	J01DH02	0.05	g	1	ml	g	IV	intravenous	bispebjerg, Esbjerg, herlev, hvidovre, Odense_extract, Rigshospital_almen, Soenderborg_extract, Svendborg_extract, Vejle_extract	10802	Meronem, Meropenem """"Hospira""""
J01DH03_IV_1.0_g_g	J01DH03	1	g	NA	NA	g	IV	intravenous	bispebjerg, herlev	23	Invanz
J01EE01_GA_2_pcs_pcs	J01EE01	2	pcs	NA	NA	pcs	GA	gastrointestinal = peroral	bispebjerg	5	Sulfametoxazol (400mg) med trimetoprim (80mg), Sulfametoxazol med trimetoprim, Sulfametoxazol med trimetoprim SAD (Komb.:400mg/80mg)
J01EE01_GA_3.2_mg_mg	J01EE01	3.2	mg	1	ml	mg	GA	gastrointestinal = peroral	Odense_extract	5	Sulfametoxazol (400mg) med trimetoprim (80mg), Sulfametoxazol med trimetoprim
J01EE01_GA_40.0_ml_ml	J01EE01	40	ml	NA	NA	ml	GA	gastrointestinal = peroral	Rigshospital_almen	5	Bactrim 200/40 mg i 5 ml, Sulfamethoxazol m trimethoprim (40mg/ml+8mg/ml) Skanderborg
J01EE01_IV_600.0_mg_mg	J01EE01	600	mg	NA	NA	mg	IV	intravenous	Rigshospital_almen	5	Bactrim Roche 400 mg sulfamet. +80 mg trim
J01EE01_GA_3_pcs_pcs	J01EE01	3	pcs	NA	NA	pcs	GA	gastrointestinal = peroral	Kolding_extract	6	Sulfamethoxazol m Trimethoprim Skanderborg (400+80 mg)
J01EE01_IV_1200_mg_mg	J01EE01	1200	mg	NA	NA	mg	IV	intravenous	Vejle_extract	6	Bactrim """"Roche""""
J01EE01_GA_1200.0_mg_mg	J01EE01	1200	mg	NA	NA	mg	GA	gastrointestinal = peroral	Rigshospital_almen	7	Bactrim 200/40 mg i 5 ml, Bactrim Roche 400 mg sulfamet. +80 mg trim, Sulfametoxazol med trimetoprim SAD (Komb.:400mg/80mg)
J01EE01_GA_1_pcs_pcs	J01EE01	1	pcs	NA	NA	pcs	GA	gastrointestinal = peroral	Kolding_extract	8	Sulfamethoxazol m Trimethoprim Skanderborg (400+80 mg)
J01EE01_IV_3.2_mg_mg/kg	J01EE01	3.2	mg	1	ml	mg/kg	IV	intravenous	Odense_extract	8	Sulfametoxazol (400mg) med trimetoprim (80mg)
J01EE01_GA_10.0_ml_ml	J01EE01	10	ml	NA	NA	ml	GA	gastrointestinal = peroral	Rigshospital_almen	9	Bactrim 200/40 mg i 5 ml, Sulfamethoxazol m trimethoprim (40mg/ml+8mg/ml) Skanderborg, Sulfametoxazol m/trimetoprim 40 mg/ml + 8 mg/ml
J01EE01_GA_3.0_pcs_pcs	J01EE01	3	pcs	NA	NA	pcs	GA	gastrointestinal = peroral	Rigshospital_almen	10	Bactrim Roche 400 mg sulfamet. +80 mg trim, Sulfamethoxazol m Trimethoprim Skanderborg (400+80 mg), Sulfametoxazol med trimetoprim, Sulfametoxazol med trimetoprim SAD (Komb.: 400mg/80mg)
J01EE01_IV_20.0_ml_ml	J01EE01	20	ml	NA	NA	ml	IV	intravenous	Rigshospital_almen	12	Bactrim Roche 400 mg sulfamet. +80 mg trim
